Wave1,Corrections,RU,DE,ES,FR,AR,zh-CHS,TR,PT,Philiphino Tagalog,Hindi,Polish
_swysac,"When you see a caret mark over a vowel, we call that a tented vowel.","Когда вы видите знак пометки на гласной, ""мы"" называем его гласной.","Wenn Sie eine Einfügemarke Markierung über einen Vokal sehen, nennen wir, dass ein Zelt-Vokal.","Cuando ves una marca de cuidado sobre una vocal, ""nosotros"" llamamos a eso una vocal de tiendas de campaña.","Lorsque vous voyez une marque caret sur une voyelle, ""nous"" appelons cela une voyelle en tente.","عندما تري علامة إقحام فوق حرف العلة ، ""نحن"" ندعو ان حرف العلة.","当您在元音上看到一个脱字号标记时, ""我们"" 称为帐篷元音。","Bir sesli harf üzerinde bir şapka işareti gördüğünüzde, ""Biz"" Bu bir çadırlı sesli çağrı.","Quando você vê uma marca de acento circunflexo sobre uma vogal, ""nós"" chamamos isso de uma vogal tenda.",,,
_swysav2,"When you see a vowel with ""2"" dots over it, we call it a double-dotted vowel.","Когда вы видите гласную, ""2"" точки над ней, ""мы"" называем ее двойными точками гласной.","Wenn man einen Vokal mit ""2"" Punkten über ihm sieht, nennt man ihn einen doppelten Vokal.","Cuando ves una vocal con ""2"" puntos sobre él, ""nosotros"" lo llamamos una vocal de doble punteado.","Lorsque vous voyez une voyelle avec ""2"" points sur elle, ""nous"" appelons cela une voyelle double-pointillés.","عندما تري حرف العلة مع ""2"" النقاط أكثر من ذلك ، ""نحن"" نسميها حرف العلة مزدوجة المنقطة.","当你看到一个带有 ""2"" 点的元音时, ""我们"" 称之为 double-dotted 元音。","Üzerinde ""2"" noktalı bir sesli harf gördüğünüzde, ""Biz"" bir çift noktalı sesli çağrı.","Quando você vê uma vogal com ""2"" pontos sobre ele, ""nós"" chamamos-lhe uma vogal de dupla pontilhada.",,,
_swysav,"when you see a vowel with a curved line over it, that means the vowel is short.","При просмотре гласной с изогнутой линией, это означает, что гласная короткая.","Wenn Sie einen Vokal mit einer gebogenen Linie darüber sehen, bedeutet das, dass der Vokal kurz ist.","Cuando se ve una vocal con una línea curva sobre ella, significa que la vocal es corta.","Lorsque vous voyez une voyelle avec une ligne incurvée sur elle, cela signifie que la voyelle est courte.",عندما تري حرف العلة مع خط منحني أكثر من ذلك ، وهذا يعني ان حرف العلة قصيرة.,"当你看到一个元音与它的弯曲线, 这意味着元音是短。","üzerinde kavisli bir çizgi ile bir sesli harf gördüğünüzde, bu sesli harf kısadır demektir.","Quando você vê uma vogal com uma linha curva sobre ela, isso significa que a vogal é curta.",,,
_swysav1,"When you see a vowel with a straight line over it, that means the vowel is long.","Когда вы видите гласную с прямолинейной линией, это означает, что гласный длинный.","Wenn Sie einen Vokal mit einer geraden Linie über Sie sehen, bedeutet das, dass der Vokal lang ist.","Cuando ves una vocal con una línea recta sobre ella, significa que la vocal es larga.","Lorsque vous voyez une voyelle avec une ligne droite sur elle, cela signifie que la voyelle est longue.",عندما تري حرف العلة مع خط مستقيم أكثر من ذلك ، وهذا يعني ان حرف العلة طويلة.,"当你看到一个元音有一条直线在它上, 这意味着元音是长的。","Üzerinde düz bir çizgi ile bir sesli harf gördüğünüzde, bu sesli harf uzun olduğunu anlamına gelir.","Quando você vê uma vogal com uma linha reta sobre ele, isso significa que a vogal é longa.",,,
_swysaw,"When you see a word with An apostrophe ""s"" at the end of it, we call the word possessive.","Когда в конце слова «с» апострофом есть слово «s», «мы» вызываем это слово.","Wenn Sie ein Wort mit ""ein"" Apostroph ""s"" am Ende von ihm sehen, ""wir"" nennen das Wort besessen.","Cuando ves una palabra con ""un"" apóstrofe ""s"" al final de la misma, ""nosotros"" llamamos a la palabra posesivo.","Lorsque vous voyez un mot avec ""une"" apostrophe ""s"" à la fin de celui-ci, ""nous"" appelons le mot possessif.","عندما تري كلمه مع الفاصلة العليا ""s"" في نهاية المطاف ، ""نحن"" ندعو كلمه غيور.","当你看到一个字的末尾有一个撇号 ""s"" 的时候, ""我们"" 叫做 ""占有"" 这个词。","Sonunda ""s"" kesme işareti ile bir kelime gördüğünüzde, ""Biz"" kelimesi ""Biz"" diyoruz.","Quando você vê uma palavra com um apóstrofo ""s"" no final do mesmo, ""nós"" chamar a palavra possessivo.",,,
_swyaate,"Whenever you are asked to enter the letter ""q"" you will also need to enter the letter ""u"".","Когда вам предлагается ввести букву ""q"", необходимо также ввести букву ""u"".","Wenn Sie aufgefordert werden, den Buchstaben ""q"" einzugeben, müssen Sie auch den Buchstaben ""u"" eingeben.","Siempre que se le pida que ingrese la letra ""q"" también tendrá que introducir la letra ""u"".","Chaque fois que vous êtes invité à entrer dans la lettre ""q"" vous devrez également entrer la lettre ""u"".","كلما طلب منك إدخال الحرف ""q"" ستحتاج أيضا إلى إدخال الحرف ""u"".","每当你被要求输入字母 ""q"", 你也将需要输入字母 ""u""。","""q"" harfi girmeniz istendiğinde, ""u"" harfi girmeniz de gerekecektir.","Sempre que você é convidado a digitar a letra ""q"" você também vai precisar digitar a letra ""u"".",,,
_swumtl,"will usually make the long ""i"" sound and the long ""o"" sound.","обычно заносит длинный звук и длинный ""o"" звук.","wird gewöhnlich den langen ""i"" Klang und den langen ""o"" Klang machen.","usualmente hará el sonido ""i"" largo y el sonido ""o"" largo.","sera généralement faire le long ""i"" son et le long ""o"" son.","وعاده ما تجعل الطويل ""انا"" الصوت والطويل ""o"" الصوت.","通常会使长 ""我"" 的声音和长 ""o"" 的声音。","genellikle uzun ""ı"" ses ve uzun ""o"" ses yapacaktır.","normalmente fará o som ""i"" longo e o som ""o"" longo.",,,
_lwor,"""wor"" (the letters)","""а"" (буквы)","""die Briefe""","""para"" (las letras)","""tra"" (les lettres)","""wget"" (الحروف)","""在"" (字母)","""kel"" (harfler)",(as letras),,,
_swor,"""wor"" (the sounds)","""а"" (звуки)","""die Klänge""","""para"" (los sonidos)","""tra"" (les sons)","""wget"" (الأصوات)","""(声音)""","""kel"" (sesler)","""a"" (os sons)",,,
_swtacs,"words that are closed syllables, but make the long vowel sound.","слова, которые являются закрытыми слогами, но делают длинный гласный звук.","Wörter, die geschlossene Silben sind, aber den langen Vokal bilden.","las palabras que son sílabas cerradas, pero hacen el sonido largo de la vocal.","des mots qui sont des syllabes fermées, mais font le son long voyelle.",الكلمات التي هي المقاطع المغلقة ، ولكن جعل الصوت الأحرف الطويلة.,"词是闭合的音节, 但使长的元音声音。","kelimeler kapalı heceler, ama uzun sesli ses yapmak.","palavras que são sílabas fechadas, mas fazem o som vogal longo.",,,
_swtcac,"words that contain a closed syllable and a vowel - consonant - silent ""e"" syllable.","слова, содержащие закрытый слог и гласный-молчаливый слог ""e"".","Wörter, die eine geschlossene Silbe und eine Vokale-Konsonanten-Stille ""e""-Silbe enthalten.","palabras que contienen una sílaba cerrada y una sílaba Vocal-consonante-silenciosa ""e"".","les mots qui contiennent une syllabe fermée et une voyelle-consonne-Silent ""e"" syllabe.","الكلمات التي تحتوي علي مقطع مغلق وحرف العلة الساكنة صامته ""e"" مقطع لفظي.","包含一个闭合的音节和一个元音辅音无声的 ""e"" 音节的词。","kapalı hece ve sesli harflerle sessiz ""e"" hece içeren kelimeler.","palavras que contêm uma sílaba fechada e uma sílaba vogal-consoante-silenciosa ""e"".",,,
_swtcacs,words that contain a closed syllable and An open syllable.,"слова, содержащие закрытый слог и ""а"" Открытый слог.","Wörter, die eine geschlossene Silbe und eine offene Silbe enthalten.",palabras que contienen una sílaba cerrada y una sílaba abierta.,"Mots qui contiennent une syllabe fermée et ""une"" syllabe ouverte.",الكلمات التي تحتوي علي مقطع مغلق ومقطع مفتوح.,包含一个封闭的音节和一个开放的音节的词。,kapalı hece ve açık hece içeren kelimeler.,palavras que contêm uma sílaba fechada e uma sílaba aberta.,,,
_swtcac1,"words that contain a closed syllable where the vowel is ""y"".","слова, которые содержат закрытый слог, где гласная буква ""y"".","Wörter, die eine geschlossene Silbe enthalten, in der der Vokal ""y"" ist.","palabras que contienen una sílaba cerrada donde la vocal es ""y"".","Mots qui contiennent une syllabe fermée où la voyelle est ""y"".","الكلمات التي تحتوي علي مقطع مغلق حيث حرف العلة هو ""y"".","包含元音为 ""y"" 的闭合音节的单词。","sesli harfler ""y"" olduğunda, kapalı hece içeren kelimeler.","palavras que contêm uma sílaba fechada onde a vogal é ""y"".",,,
_swtcas,"words that contain a soft ""g"".","слова, которые содержат мягкую ""g"".","Wörter, die ein weiches ""g"" enthalten.","palabras que contienen una ""g"" blanda.","Mots qui contiennent un ""g"" doux.","الكلمات التي تحتوي علي ""g"" ناعمه.","包含软 ""g"" 的单词。","yumuşak ""g"" içeren kelimeler.","palavras que contêm um ""g"" suave.",,,
_swtcavf,words that contain a vowel followed by the letter “r”.,"слова, содержащие гласные, за которыми следует буква ""r"".","Wörter, die einen Vokal enthalten, gefolgt vom Buchstaben ""r"".","palabras que contienen una vocal seguida de la letra ""r"".","les mots qui contiennent une voyelle suivie de la lettre ""r"".","الكلمات التي تحتوي علي حرف صوتي متبوعا بحرف ""r"".","包含元音的单词, 后跟字母 ""r""。","""r"" harfiyle izlenen bir sesli harf içeren kelimeler.","palavras que contêm uma vogal seguida pela letra ""r"".",,,
_swtcett,words that contain exceptions to the open syllable rule.,"слова, содержащие исключения из правила открытого слога.","Wörter, die Ausnahmen von der Regel der geöffneten Silbe enthalten.",palabras que contienen excepciones a la regla de sílaba abierta.,Mots qui contiennent des exceptions à la règle de syllabe ouverte.,الكلمات التي تحتوي علي استثناءات للقاعدة المقطع المفتوح.,包含对开放音节规则的例外的词。,Açık hece kuralına özel durumlar içeren sözcükler.,palavras que contêm exceções à regra de sílaba aberta.,,,
_swtctd,"words that contain the digraph ""ph"" and make the /""f""/ sound.","слова, которые содержат графу ""pH"" и делают ""f""/звук.","Wörter, die das Digraph ""pH"" enthalten und den/""f""/Klang bilden.","palabras que contienen el digrama ""pH"" y hacen el/""f""/sonido.","Mots qui contiennent le Digraphe ""pH"" et faire le/""f""/Sound.","الكلمات التي تحتوي علي الرسم البياني ""ph"" وجعل/""f""/الصوت.","包含有向图的 ""ph"" 的单词, 并使/""f""/声音。","digraph ""pH"" ve/""f""/ses yapmak içeren kelimeler.","palavras que contêm o digrafo ""Ph"" e fazer o/""f""/som.",,,
_swtctl,words that contain the letters,"слова, содержащие буквы","Wörter, die die Buchstaben enthalten",palabras que contienen las letras,les mots qui contiennent les lettres,الكلمات التي تحتوي علي الحروف,包含字母的单词,harfler içeren kelimeler,palavras que contêm as letras,,,
_swtctla,"words that contain the letters ""al"".","слова, содержащие буквы ""Al"".","Wörter, die die Buchstaben ""Al"" enthalten.","palabras que contienen las letras ""al"".",les mots qui contiennent les lettres «al».,"الكلمات التي تحتوي علي الحروف ""al"".","包含字母 ""al"" 的单词。","""Al"" harflerini içeren kelimeler.","palavras que contêm as letras ""Al"".",,,
_swtctcs,words that contain two closed syllables.,"слова, содержащие два закрытых слога.","Wörter, die zwei geschlossene Silben enthalten.",palabras que contienen dos sílabas cerradas.,Mots qui contiennent deux syllabes fermées.,الكلمات التي تحتوي علي اثنين من المقاطع المغلقة.,包含两个闭合音节的单词。,iki kapalı hece içeren kelimeler.,palavras que contêm duas sílabas fechadas.,,,
_swtdwn,words that deal with numbers or counting.,"слова, которые касаются чисел или подсчета.","Wörter, die mit Zahlen oder zählen beschäftigen.",palabras que tratan con números o contando.,les mots qui traitent des nombres ou du comptage.,الكلمات التي تتعامل مع الأرقام أو العد.,处理数字或计数的单词。,Sayılarla veya sayma ile ilgili kelimeler.,palavras que lidam com números ou contando.,,,
_swords,"Words that end in ""ive"" are exceptions to the ""vce"" pattern.","Слова, которые заканчиваются словами ""i"", являются исключениями из шаблона ""ВЦЕ"".","Wörter, die in ""Ive"" enden, sind Ausnahmen vom ""VCE"" Muster.","Las palabras que terminan en ""Ive"" son excepciones al patrón ""VCE"".","Les mots qui finissent dans ""ive"" sont des exceptions au modèle ""VCE"".","الكلمات التي تنتهي في ""ايف"" هي استثناءات للنمط ""العنف النمطي"".","以 ""我"" 结尾的单词是 ""vce"" 模式的例外。","""ive"" son kelime ""VCE"" desen istisnalar vardır.","As palavras que terminam em ""Ive"" são exceções ao padrão ""VCE"".",,,
_swteei,"words that end in ""ive"".","слова, которые заканчиваются словами ""я"".","Wörter, die in ""Ive"" enden.","palabras que terminan en ""Ive"".","les mots qui finissent dans ""ive"".","الكلمات التي تنتهي في ""ايف"".","以 ""我"" 结尾的词","""ive"" ile biten sözler.","palavras que terminam em ""Ive"".",,,
_swteit,"words that end in the letters ""ey"".","слова, которые заканчиваются в буквах ""нет"".","Worte, die in den Buchstaben ""ey"" enden.","palabras que terminan en las letras ""ey"".","les mots qui finissent dans les lettres ""ey"".","الكلمات التي تنتهي في الحروف ""ي"".","在字母 ""嗯"" 中结束的单词。","""Ey"" harflerle biten sözler.","palavras que terminam nas letras ""ey"".",,,
_swwlvt,words with long vowel teams.,слова с длинными гласными командами.,Wörter mit langen Vokal-Teams.,palabras con equipos vocales largos.,Mots avec des équipes de voyelles longues.,الكلمات مع فرق الأحرف الطويلة.,词与长的元音队。,uzun ünlü takımlar ile kelimeler.,palavras com equipes vogais longas.,,,
_swwsl,words with silent letters.,слова с молчаливыми буквами.,Wörter mit stummen Buchstaben.,palabras con letras silenciosas.,Mots avec des lettres silencieuses.,كلمات بحروف صامته.,字与无声的字母。,sessiz harflerle kelimeler.,palavras com letras silenciosas.,,,
_swwtom1,"words with three or more syllables and end in ""y"".","слова с тремя или более слогами и заканчиваются в ""y"".","Wörter mit drei oder mehr Silben und enden in ""y"".","palabras con tres o más sílabas y terminan en ""y"".","Mots avec trois syllabes ou plus et finissent en ""y"".","الكلمات مع ثلاثه أو أكثر من المقاطع وتنتهي في ""y"".","单词有三或更多音节, 结束于 ""y""。","üç veya daha fazla hece ve ""y"" ile biten kelimeler.","palavras com três ou mais sílabas e terminam em ""y"".",,,
_swwtom,words with three or more syllables.,слова с тремя или более слогами.,Wörter mit drei oder mehr Silben.,palabras con tres o más sílabas.,Mots avec trois syllabes ou plus.,الكلمات مع ثلاثه أو أكثر من المقاطع.,有三或更多音节的单词。,üç veya daha fazla heceli kelimeler.,palavras com três ou mais sílabas.,,,
_lwr,"""wr"" (the letters)","""трудовые"" (буквы)","""WR"" (die Buchstaben)","""WR"" (las letras)","""WR"" (les lettres)","""wr"" (الرسائل)","""西铁"" (字母)","""WR"" (harfler)","""WR"" (as letras)",,,
_swasot,Write a sentence on the card using the keyword...,Написать предложение на карточке с помощью ключевого слова...,Schreibe einen Satz auf der Karte mit dem Stichwort ...,Escribe una frase en la tarjeta usando la palabra clave ...,Ecrire une phrase sur la carte en utilisant le mot-clé ...,كتابه جمله علي البطاقة باستخدام الكلمة الاساسيه...,使用关键词在卡片上写一个句子..。,Anahtar kelime kullanarak kart üzerine bir cümle yazın...,Escreva uma frase sobre o cartão usando a palavra-chave...,,,
_sywiac,"""Y"", which is a consonant, is sometimes considered a vowel.","""Y"", которая является согласный, иногда считается гласной.","""Y"", ein Konsonanten, wird manchmal als Vokal betrachtet.","""y"", que es una consonante, a veces se considera una vocal.","""Y"", qui est une consonne, est parfois considérée comme une voyelle.","""Y"" ، وهو ساكن ، ويعتبر في بعض الأحيان حرف العلة.","""Y"" 是辅音, 有时被认为是元音。","""Y"", bir sessiz, bazen bir sesli harf olarak kabul edilir.","""Y"", que é uma consoante, às vezes é considerada uma vogal.",,,
_syawww,"You also worked with words that have ""3"" letters and make 3 sounds.","Вы также работали со словами, имеющими «3» буквы, и делали 3 звуки.","Sie arbeiteten auch mit Wörtern, die ""3"" Buchstaben haben und 3 Töne bilden.","También trabajaste con palabras que tienen letras ""3"" y hacen 3 sonidos.","Vous avez également travaillé avec des mots qui ont ""3"" lettres et faire 3 sons.","كما عملت مع الكلمات التي ""3"" الرسائل وجعل الأصوات 3.","您还使用了 ""3"" 字母的单词并发出3声音。","Ayrıca ""3"" harfleri ve 3 ses yapmak kelimeleri ile çalıştı.","Você também trabalhou com palavras que têm ""3"" letras e fazer 3 sons.",,,
_syagtu,You are going to use the sounds you have practiced so far and build some words.,"Вы собираетесь использовать звуки, которые вы практиковали ""так"", и постройте некоторые слова.","Sie werden die Sounds verwenden, die Sie geübt haben ""so"" weit und bauen einige Worte.","Usted va a utilizar los sonidos que ha practicado ""así"" lejos y construir algunas palabras.","Vous allez utiliser les sons que vous avez pratiqués ""so"" Far et construire quelques mots.","كنت gonna استخدام الأصوات التي تمارس ""حتى"" حتى الآن وبناء بعض الكلمات.","你要使用的声音, 你练习 ""那么"" 远, 并建立一些单词。","Sen ""So"" çok ve bazı kelimeleri kurmak uygulamalı sesleri kullanmak için gidiyoruz.","Você vai usar os sons que você praticou ""tão"" longe e construir algumas palavras.",,,
_sycamto,You can add more than one ending to a root word.,К корневому слову можно добавить более одного конца.,Sie können einem root-Wort mehr als ein Ende hinzufügen.,Puede agregar más de un final a una palabra raíz.,Vous pouvez ajouter plus d'une terminaison à un mot racine.,يمكنك أضافه أكثر من نهاية واحده إلى كلمه جذر.,可以向根单词添加多个结束。,Bir kök sözcük için birden fazla bitiş ekleyebilirsiniz.,Você pode adicionar mais de um final a uma palavra raiz.,,,
_hyctr,You can choose to receive your instructions in either English or in Spanish. (record in both English and in Spanish),Вы можете выбрать получение инструкций на английском или испанском языках. (запись на английском и испанском языках),"Sie können beschließen, Ihre Anweisungen entweder in Englisch oder in spanischer Sprache zu erhalten. (Aufzeichnung in Englisch und Spanisch)",Usted puede elegir recibir sus instrucciones en inglés o en español. (registro en inglés y en Español),Vous pouvez choisir de recevoir vos instructions en anglais ou en espagnol. (enregistrement en anglais et en espagnol),يمكنك اختيار الحصول علي التعليمات الخاصة بك اما باللغة الانجليزيه أو باللغة الاسبانيه. (سجل باللغتين الانكليزيه والاسبانيه),您可以选择以英语或西班牙语接收您的指示。(用英文和西班牙文记录),Talimatları İngilizce veya İspanyolca olarak almayı seçebilirsiniz. (İngilizce ve İspanyolca kayıt),Você pode escolher receber suas instruções em inglês ou em espanhol. (registro em inglês e em espanhol),,,
_sycgbt,"You can ""go"" back to one of them or all of them.","Вы можете ""вернуться"" к одному из них или ко всем.","Sie können ""gehen"" zurück zu einem von Ihnen oder allen von Ihnen.",Puedes volver a uno de ellos o a todos ellos.,Vous pouvez «retourner» à l'un d'eux ou à tous.,"يمكنك ""العودة"" إلى واحد منهم أو كل منهم.","你可以 ""去"" 回到其中一个或所有他们。",Onlardan birine ya da hepsine geri gidebilirsin.,"Você pode ""ir"" de volta para um deles ou todos eles.",,,
_sychtn,"You can hear the ""nch"" and the ""lch"".","Вы можете услышать ""НЧ"" и ""меня"".","Sie können das ""NCH"" und das ""LCH"" hören.","Se puede oír la ""NCH"" y la ""LCH"".","Vous pouvez entendre le ""NCH"" et le ""LCH"".",(يمكنك سماع ال (ميك) و ال (لأي,"你可以听到 ""nch"" 和 ""lch""。","""NCH"" ve ""LCH"" sesini duyabilirsiniz.","Você pode ouvir o ""NCH"" e o ""LCH"".",,,
_sycuyc,You can use your card deck to help remember these sounds.,С помощью набора карточек можно запомнить эти звуки.,"Sie können Ihre Karte Deck verwenden, um sich an diese Klänge zu erinnern.",Puede usar su baraja de cartas para ayudar a recordar estos sonidos.,Vous pouvez utiliser votre deck de cartes pour vous aider à mémoriser ces sons.,يمكنك استخدام سطح البطاقة للمساعدة في تذكر هذه الأصوات.,"您可以使用您的卡甲板, 以帮助记住这些声音。",Bu sesleri hatırlamaya yardımcı olmak için kart deste kullanabilirsiniz.,Você pode usar sua plataforma de cartão para ajudar a lembrar esses sons.,,,
_sydnst,You did not send the message you typed.,Вы не отправляли введенное сообщение.,Sie haben die eingegebene Nachricht nicht gesendet.,No ha enviado el mensaje que ha escrito.,Vous n'avez pas envoyé le message que vous avez tapé.,لم تقم بإرسال الرسالة التي كتبتها.,您没有发送您键入的邮件。,Yazdığınız iletiyi göndermedi.,Você não enviou a mensagem que você digitou.,,,
_sygatl,You got all of the letters in the correct order.,Вы получили все буквы в правильном порядке.,Sie haben alle Buchstaben in der korrekten Reihenfolge.,Tienes todas las letras en el orden correcto.,Vous avez toutes les lettres dans le bon ordre.,لقد حصلت علي كل الرسائل بالترتيب الصحيح,你把所有的字母都按正确的顺序排列好了。,Tüm mektupları doğru sırada aldın.,Você tem todas as letras na ordem correta.,,,
_sygaot,You got all of the words correct.,У тебя все слова верны.,Sie haben alle Worte richtig.,Tienes todas las palabras correctas.,Vous avez tous les mots corrects.,لديك كل الكلمات الصحيحة.,你把所有的单词都说对了。,Bütün kelimeleri doğru yaptın.,Você tem todas as palavras corretas.,,,
_syhcb1,"You have completed break ""2""!","Вы закончили перерыв ""2""!","Sie haben Break ""2"" abgeschlossen!","¡ Has completado el break ""2""!","Vous avez terminé Break ""2""!","لقد أكملت كسر ""2""!","你已经完成了突破 ""2""!","""2"" break tamamladınız!","Você terminou break ""2""!",,,
_syhcat,You have completed all the exercises for initial and final blends.,Вы завершили все упражнения для начального и окончательного переходов.,Sie haben alle Übungen für Initial und Final Blends abgeschlossen.,Has completado todos los ejercicios para mezclas iniciales y finales.,Vous avez terminé tous les exercices pour les mélanges initiaux et finaux.,كنت قد أكملت جميع التمارين ليمزج الاوليه والنهائية.,你已经完成了所有的初始和最终混合的练习。,İlk ve son karışımları için tüm alıştırmaları tamamladınız.,Você completou todos os exercícios para as misturas iniciais e finais.,,,
_syhcb2,"You have completed Break ""1""!","Вы закончили перерыв ""1""!","Sie haben Break ""1"" abgeschlossen!","¡ Has completado el break ""1""!","Vous avez terminé Break ""1""!","لقد أكملت كسر ""1""!","你已经完成了突破 ""1""!","""1"" break tamamladınız!","Você terminou break ""1""!",,,
_syhcb3,"You have completed Break ""3""!","Вы закончили перерыв ""3""!","Sie haben Break ""3"" abgeschlossen!","¡ Has completado el break ""3""!","Vous avez terminé Break ""3""!","لقد أكملت كسر ""3""!","你已经完成了突破 ""3""!","""3"" break tamamladınız!","Você terminou a ruptura ""3""!",,,
_syhcb4,"You have completed break ""4""!","Вы закончили перерыв ""4""!","Sie haben Break ""4"" abgeschlossen!","¡ Has completado el break ""4""!","Vous avez terminé Break ""4""!","لقد أكملت كسر ""4""!","你已经完成了突破 ""4""!","""4"" break tamamladınız!","Você terminou a ruptura ""4""!",,,
_syhcb5,"You have completed break ""5""!","Вы закончили перерыв ""5""!","Sie haben Break ""5"" abgeschlossen!","¡ Has completado el break ""5""!","Vous avez terminé Break ""5""!","كنت قد أكملت كسر ""5""!","你已经完成了突破 ""5""!","""5"" break tamamladınız!","Você terminou break ""5""!",,,
_syhcte,You have completed this exercise.,Вы завершили это упражнение.,Sie haben diese Übung abgeschlossen.,Has completado este ejercicio.,Vous avez terminé cet exercice.,لقد أتممت هذه العملية.,您已完成此练习。,Bu alıştırmayı tamamladınız.,Você completou este exercício.,,,
_syhctl2,You have completed this lesson activity.,Вы выполнили эту операцию урока.,Sie haben diese Lektion-Aktivität abgeschlossen.,Usted ha completado esta actividad de la lección.,Vous avez terminé cette activité de leçon.,لقد أتممت نشاط الدرس هذا.,您已完成此课程活动。,Bu ders etkinliğini tamamladınız.,Você concluiu essa atividade de aula.,,,
_syhctl,You have completed this lesson.,Вы закончили этот урок.,Sie haben diese Lektion abgeschlossen.,Has completado esta lección.,Vous avez terminé cette leçon.,لقد أكملت هذا الدرس,你已经完成了这一课。,Bu dersi tamamladınız.,Você completou esta lição.,,,
_syhctq,You have completed this quiz.,Вы завершили этот тест.,Sie haben dieses Quiz abgeschlossen.,Has completado esta prueba.,Vous avez terminé ce quiz.,لقد أتممت هذه المسابقة.,您已完成此测验。,Bu sınavı tamamladınız.,Você completou este quiz.,,,
_syhnct,You have not completed the lesson yet.,Вы еще не закончили Урок.,Sie haben die Lektion noch nicht abgeschlossen.,Aún no has completado la lección.,Vous n'avez pas encore terminé la leçon.,لم تكمل الدرس بعد,你还没有完成这一课。,Henüz ders tamamlanmadı.,Ainda não completaste a lição.,,,
_syhpso,You have practiced some of these words in previous lessons.,Вы практиковали некоторые из этих слов в предыдущих уроках.,Sie haben einige dieser Wörter in früheren Lektionen geübt.,Has practicado algunas de estas palabras en lecciones anteriores.,Vous avez pratiqué certains de ces mots dans les leçons précédentes.,لقد مارست بعض هذه الكلمات في الدروس السابقة.,你在以前的课程中练习过这些单词。,Bu kelimelerin bazılarını önceki derste alıştırma yaptınız.,Você praticou algumas dessas palavras em lições anteriores.,,,
_syhpts,"You have practiced the short sound of ""a"".","Вы практиковали короткий звук ""a"".","Sie haben den kurzen Klang von ""a"" geübt.","Has practicado el sonido corto de ""a"".","Vous avez pratiqué le son court de ""a"".",(لقد تدربت علي الصوت القصير ل (اي,"你练习了 ""a"" 的短音。","""a"" nın kısa sesini pratik yaptın.","Você praticou o som curto de ""a"".",,,
_syhray,You haven't recorded anything yet.,Ты еще ничего не записал.,Sie haben noch etwas aufgezeichnet.,No has grabado nada todavía.,Tu n'as encore rien enregistré.,لقد سجلت اي شيء لحد الآن,你还没有记录任何事情,"""t"" henüz bir şey kaydedilmedi.",Ainda não gravou nada.,,,
_syhrot,You haven't recorded or typed anything yet.,Вы не записывали или ввели что-нибудь.,Sie Haven ' t aufgezeichnet oder noch etwas eingegeben.,"Usted Haven ' t ""grabado o mecanografiado nada todavía.""","Vous Haven ""t"" enregistré ou tapé quelque chose encore.","أنت ""تي"" التي سجلت أو كتبت اي شيء حتى الآن.",您还没有记录或键入任何内容。,"Sen sığınak ' ""t"" kaydedildi ya da henüz bir şey yazdı.","Você Haven ' ""t"" gravou ou digitou qualquer coisa ainda.",,,
_syhcat1,"You ""haver"" completed all of the lessons in this program!",Вы выполнили все уроки этой программы!,"Sie ""Haver"" abgeschlossen alle Lektionen in diesem Programm!","¡ usted ""haver"" completó todas las lecciones en este programa!",Vous avez terminé toutes les leçons de ce programme!,"أنت ""هفير"" أكملت كل الدروس في هذا البرنامج!","您 ""!"" 完成了本课程的所有课程!","Sen ""Haver"" Bu programda tüm dersleri tamamladı!","Você ""haver"" completou todas as lições deste programa!",,,
_symaae,"you must add An ""es"" to make the word plural.","чтобы сделать слово множественным, необходимо добавить ""a"" ""ES"".","Sie müssen ""ein"" ""es"" hinzufügen, um das Wort Plural zu machen.","debe agregar ""un"" ""es"" para hacer la palabra plural.","vous devez ajouter ""un"" ""es"" pour rendre le mot pluriel.","يجب أضافه ""es"" لجعل كلمه الجمع.","您必须添加一个 ""es"", 使单词复数。","kelime çoğul yapmak için bir ""es"" eklemeniz gerekir.","Você deve adicionar um ""es"" para fazer a palavra plural.",,,
_symewy,You must experiment when you blend the word.,Вы должны поэкспериментировать при смешении слова.,"Sie müssen experimentieren, wenn Sie das Wort mischen.",Debes experimentar cuando mezclas la palabra.,Vous devez expérimenter lorsque vous mélangez le mot.,يجب ان تجرب عند مزج الكلمة.,你必须在混合单词时进行实验。,Kelimeyi karıştırarak deneme yapmalısınız.,Você deve experimentar quando você misturar a palavra.,,,
_syoumu,"You must match Column A with the correct second syllable in Column ""B"" to make three real words.","Необходимо сопоставить столбец A с правильным вторым слогом в столбце ""B"", чтобы сделать три реальных слова.","Sie müssen die Spalte A mit der korrekten zweiten Silbe in Spalte ""B"" abgleichen, um drei reale Wörter zu bilden.","Debe coincidir con la columna a con la segunda sílaba correcta en la columna ""B"" para hacer tres palabras reales.","Vous devez correspondre à la colonne a avec la deuxième syllabe correcte dans la colonne ""B"" pour faire trois mots réels.","يجب عليك مطابقه العمود A مع المقطع الثاني الصحيح في العمود ""B"" لجعل ثلاث كلمات حقيقية.","你必须匹配列 A 与正确的第二个音节 ""B"", 使三真正的字。","Üç gerçek kelime yapmak için ""B"" sütununda doğru ikinci hece ile sütun A eşleşmesi gerekir.","Você deve coincidir com a coluna a com a segunda sílaba correta na coluna ""B"" para fazer três palavras reais.",,,
